neos-555927,default,emphasis_feasibility,separating_aggressive,separating_off,heuristics_aggressive,separating_fast,presolving_aggressive,presolving_fast,heuristics_fast,emphasis_optimality,presolving_off,emphasis_easycip,emphasis_hardlp,heuristics_off
neos-476283,separating_off,emphasis_feasibility,presolving_off,separating_fast,separating_aggressive,default,emphasis_hardlp,heuristics_aggressive,presolving_aggressive,presolving_fast,emphasis_easycip,emphasis_optimality,heuristics_fast,heuristics_off
neos-1281048,separating_aggressive,heuristics_aggressive,presolving_fast,default,presolving_aggressive,emphasis_feasibility,separating_fast,heuristics_fast,heuristics_off,emphasis_hardlp,presolving_off,separating_off,emphasis_easycip,emphasis_optimality
neos-820879,default,presolving_fast,heuristics_aggressive,separating_aggressive,presolving_aggressive,presolving_off,emphasis_feasibility,separating_fast,emphasis_easycip,separating_off,emphasis_optimality,emphasis_hardlp,heuristics_fast,heuristics_off
neos-1396125,separating_fast,presolving_aggressive,default,heuristics_fast,heuristics_aggressive,separating_off,separating_aggressive,emphasis_easycip,presolving_fast,presolving_off,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_off
neos-1337307,presolving_aggressive,emphasis_feasibility,default,presolving_fast,heuristics_aggressive,separating_aggressive,separating_fast,separating_off,emphasis_hardlp,presolving_off,heuristics_fast,emphasis_easycip,heuristics_off,emphasis_optimality
gesa3_o,default,presolving_aggressive,heuristics_aggressive,presolving_fast,separating_fast,emphasis_feasibility,heuristics_fast,separating_aggressive,emphasis_optimality,presolving_off,emphasis_easycip,separating_off,emphasis_hardlp,heuristics_off
neos-911970,separating_aggressive,presolving_off,presolving_aggressive,heuristics_aggressive,default,emphasis_optimality,presolving_fast,separating_fast,emphasis_hardlp,emphasis_feasibility,separating_off,emphasis_easycip,heuristics_off,heuristics_fast
air05,separating_aggressive,presolving_aggressive,default,emphasis_feasibility,heuristics_aggressive,separating_fast,emphasis_easycip,presolving_off,presolving_fast,heuristics_fast,separating_off,emphasis_hardlp,heuristics_off,emphasis_optimality
tanglegram2,default,presolving_aggressive,separating_aggressive,heuristics_aggressive,presolving_fast,separating_fast,separating_off,presolving_off,heuristics_fast,emphasis_feasibility,emphasis_easycip,emphasis_optimality,emphasis_hardlp,heuristics_off
